App,Category,Rating,Reviews,Size,Installs,Type,Price,Content Rating,Last Updated,Current Ver,Minimum Android Ver,Genres
Ready4 GMAT (Prep4 GMAT),Education,4.6,18372,47,100000,Free,0,Others,"May 21, 2018",7.2.3634,4.4,Education
PicsArt Photo Studio: Collage Maker & Pic Editor,Photography,4.5,7594559,34,100000000,Free,0,Teen,"August 6, 2018",9.40.3,4.0.3,Photography
Elmo Calls by Sesame Street,Family,3.9,6903,25,1000000,Free,0,Others,"January 31, 2018",2.0.7,2.3,Educational
CCHT PREP,Medical,3.6,25,0.25977,1000,Paid,10.99,Others,"December 8, 2016",1.2,2.1,Medical
"Resume Maker:Free CV Maker,Templates Builder",Business,4.2,715,7.1,100000,Free,0,Others,"August 1, 2018",1.8,4.0.3,Business
EP Spotter,Family,3.4,9,28,500,Free,0,Others,"September 28, 2016",314007,4.3,Entertainment
Invoice 2go — Professional Invoices and Estimates,Business,4.2,16422,28,1000000,Free,0,Others,"August 1, 2018",10.46.2,4.1,Business
LactMed,Medical,4.3,573,2,100000,Free,0,Others,"June 1, 2017",3.1,3,Medical
Selfie Photo Editor,Photography,4.6,11677,19,1000000,Free,0,Others,"July 5, 2018",1.0.3,4.4,Photography
Final Fantasy XV: A New Empire,Game,4,484981,1,10000000,Free,0,Others,"June 15, 2018",3.30.4.83,4.1,Strategy
Colorfy: Coloring Book for Adults - Free,Entertainment,4.5,787177,1,10000000,Free,0,Others,"June 20, 2018",Varies with device,-1,Entertainment
EF Academy,Health And Fitness,5,4,15,50,Free,0,Others,"March 23, 2018",7.7.3,4.1,Health & Fitness
San Andreas Crime City Gangster 3D,Family,4.2,9403,1,1000000,Free,0,Teen,"July 3, 2018",Varies with device,4.1,Simulation
Tafsiir Quraan MP3 Af Soomaali Quraanka Kariimka,Lifestyle,5,7,3.4,1000,Free,0,Others,"June 9, 2018",1.4,4,Lifestyle
Hospital ER Emergency Heart Surgery: Doctor Games,Family,3.8,1652,71,100000,Free,0,Others,"July 11, 2018",10,4.1,Simulation
The Walking Zombie: Dead City,Game,4.6,58575,96,1000000,Free,0,Teen,"February 21, 2018",2.55,4.1,Action
OO Launcher for Android O 8.0 Oreo™ Launcher,Personalization,4.4,14832,8.6,1000000,Free,0,Others,"August 3, 2018",4.6,4,Personalization
EZ Cleaner - Booster Optimizer,Tools,4.4,6801,2.8,500000,Free,0,Others,"January 8, 2018",1.3.1,4.0.3,Tools
Endless Ducker,Game,4.5,8193,41,500000,Free,0,Others,"September 16, 2016",1.0.7,4.0.3,Arcade
Roll Call News,News And Magazines,3.7,24,10,5000,Free,0,Others,"December 24, 2015",1.1,4.1,News & Magazines
EyeEm - Camera & Photo Filter,Photography,4.2,215343,44,10000000,Free,0,Others,"July 14, 2018",6.4.3,4.0.3,Photography
Dr.Web Security Space,Tools,4.5,594406,1,10000000,Free,0,Others,"July 20, 2018",Varies with device,-1,Tools
All of the parking lot - National Park application (parking lot search / parking sharing / discount payment),Auto And Vehicles,4,1754,14,500000,Free,0,Others,"June 2, 2018",2.3.4,4,Auto & Vehicles
Dr. Unblock,Family,3.9,3847,4.3,1000000,Free,0,Others,"January 3, 2018",1.05,4.1,Puzzle
AAFP,Medical,3.8,63,24,10000,Free,0,Others,"June 22, 2018",2.3.1,5,Medical
"cm, mm to inch, feet converter tool",Productivity,4.3,176,2.3,100000,Free,0,Others,"September 27, 2016",1.1,2.3.3,Productivity
Pregnant Mom Surgery Newborn Twins Baby Birth Care,Family,4.3,95,28,10000,Free,0,Teen,"February 24, 2018",1,4.1,Educational
Super Jim Jump - pixel 3d,Game,4.5,10393,18,1000000,Free,0,Others,"July 11, 2018",2.2.3181,4,Arcade
CN Superstar Soccer: Goal!!!,Family,4.1,3863,41,100000,Paid,2.99,Others,"May 24, 2018",1.1.1,4.1,Sports
My magenta,Communication,3.9,42370,37,1000000,Free,0,Others,"June 25, 2018",7.5.1,5,Communication
NARUTO X BORUTO NINJA VOLTAGE,Game,4.4,267395,71,5000000,Free,0,Others,"July 19, 2018",1.1.7,4.4,Action
Intesa Sanpaolo Mobile,Finance,3.6,35518,1,1000000,Free,0,Others,"July 2, 2018",Varies with device,-1,Finance
Screen Off and Lock,Tools,4.1,172990,0.5127,10000000,Free,0,Others,"December 2, 2017",1.17.4,2.2,Tools
Transformers Rescue Bots: Hero Adventures,Family,4.2,41273,16,5000000,Free,0,Others,"July 5, 2018",1.5,4.1,Adventure
BN Pro ArialXL Legacy Text,Libraries And Demo,4.1,142,0.43164,10000,Free,0,Others,"February 5, 2017",2.3.2,1.6,Libraries & Demo
Alarmy (Sleep If U Can) - Pro,Lifestyle,4.8,10249,1,10000,Paid,2.49,Others,"July 30, 2018",Varies with device,-1,Lifestyle
"Home workouts - fat burning, abs, legs, arms,chest",Health And Fitness,4.3,4848,13,1000000,Free,0,Others,"July 18, 2018",2.6,4.1,Health & Fitness
WiFi Overview 360,Tools,4.1,15693,18,1000000,Free,0,Others,"August 3, 2018",4.32.07,4.2,Tools
FN Cam,Photography,3.4,181,10,10000,Free,0,Others,"January 13, 2016",1.1.5,4.0.3,Photography
Q Quiz SK,Family,3.9,159,39,5000,Free,0,Others,"December 8, 2015",2.3,2.3,Education
DV 2018 Winners Guide,Books And Reference,4.8,11,0.59375,1000,Free,0,Others,"July 23, 2017",1.09,4.2,Books & Reference
YAY - TBH,Social,4.1,2520,12,100000,Free,0,Teen,"November 17, 2017",1.1.5,4.3,Social
ZenUI Safeguard,Lifestyle,4.5,100,7.1,1000000,Free,0,Others,"May 9, 2018",1.0.0.21_180410,7,Lifestyle
Santa Fe FCU Mobile Banking,Finance,4.3,12,9,1000,Free,0,Others,"January 22, 2018",1.18.4,4,Finance
Red Embrace (BL/Yaoi Game),Family,4.3,616,25,10000,Free,0,Teen,"June 12, 2018",4.5.5,2.3.3,Casual
EZCast – Cast Media to TV,Video Players,3.6,32112,1,1000000,Free,0,Others,"July 4, 2018",Varies with device,-1,Video Players & Editors
Chart - Myanmar Keyboard,Lifestyle,4.4,39364,28,5000000,Free,0,Others,"July 17, 2018",10.19,4.0.3,Lifestyle
CK-12: Practice Math & Science,Family,4.2,562,20,50000,Free,0,Others,"December 21, 2017",3.8.0.251918,4.1,Education
DRC Sim - Wii U Gamepad,Family,2.4,210,4,10000,Free,0,Others,"June 25, 2017",2,2.3,Casual
Hey That's Pretty Good!,Tools,4.6,222,10,10000,Free,0,Others,"July 29, 2016",4.2.0,2.3,Tools
TV+,Entertainment,4.2,98509,1,5000000,Free,0,Others,"June 28, 2018",Varies with device,-1,Entertainment
EF App,Business,5,8,20,100,Free,0,Others,"January 23, 2017",1.0.5,4.4,Business
HD Video Downloader : 2018 Best video mate,Video Players,3.7,430643,4.9,50000000,Free,0,Others,"May 31, 2018",2.5.0,4.1,Video Players & Editors
StirFry Stunts - We Bare Bears,Game,4.5,121533,63,10000000,Free,0,Others,"March 24, 2016",1.0.0,2.3.3,Arcade
vide-greniers.org,Events,4.3,5839,3.5,100000,Free,0,Others,"November 8, 2016",16.11.8,2.3.3,Events
Speed Car CM Locker Theme,Personalization,4.4,7519,4,500000,Free,0,Others,"January 26, 2016",1.0.1,4,Personalization
The League,Dating,3,837,9.4,100000,Free,0,Teen,"July 16, 2018",1.15.0,4.4,Dating
GollerCepte 1903,Sports,4.7,25172,30,500000,Free,0,Others,"May 23, 2018",5.5,4.1,Sports
MARVEL Contest of Champions,Game,4.3,2468063,92,50000000,Free,0,Teen,"July 30, 2018",19.1.0,4.0.3,Action
"Eve Period Tracker - Love, Sex & Relationships App",Health And Fitness,4.6,20326,28,1000000,Free,0,Teen,"August 4, 2018",2.9.18,4.1,Health & Fitness
Sky People (SPI): A secure blind date through authentication by Seoul National University,Dating,3.5,894,14,100000,Free,0,Teen,"July 17, 2018",3.1.3,4.1,Dating
NB|AZ Business Mobile Banking,Finance,4.1,44,13,1000,Free,0,Others,"April 5, 2018",4.2.31,4.2,Finance
AC Remote for Samsung - NOW FREE,Tools,3.7,566,27,100000,Free,0,Others,"July 30, 2018",6.1.7,4.2,Tools
Speed Test - WiFi / Cellular speed test,Tools,4.1,24226,1,1000000,Free,0,Others,"June 27, 2017",1.0.5,-1,Tools
LokLok: Draw on a Lock Screen,Communication,4.1,14766,16,500000,Free,0,Teen,"September 20, 2017",0.81 beta,4.0.3,Communication
Adobe Fill & Sign: Easy PDF Form Filler,Productivity,4.3,11402,5.3,1000000,Free,0,Others,"November 7, 2017",1.3.0,5,Productivity
AG Subway Simulator Mobile,Family,4.5,623,47,5000,Paid,0.99,Others,"June 2, 2018",1.3.0.6,4.1,Simulation
Thai Sic Bo,Game,4.1,14283,4.2,1000000,Free,0,Teen,"October 1, 2017",1.1.2,4,Casino
Solitaire,Game,4.7,254258,23,10000000,Free,0,Others,"August 1, 2018",2.137.0,4.1,Card
Infinity Dungeon VIP,Family,4.3,21804,44,1000000,Paid,0.99,Others,"July 3, 2018",2.6.6,2.3,Role Playing
Score! Hero,Game,4.6,5418675,96,100000000,Free,0,Others,"June 13, 2018",1.751,4.4,Sports
The grand theft V Wallpaper,Personalization,3.8,87,4.3,10000,Free,0,Others,"June 5, 2018",1.1,4.0.3,Personalization
Toon Blast,Game,4.7,1351068,1,10000000,Free,0,Others,"July 30, 2018",3196,4.1,Puzzle
Hamilton — The Official App,Entertainment,4.5,1575,43,100000,Free,0,Others,"July 13, 2018",2.3.2,5,Entertainment
RightNow English Conversation,Family,4,5118,11,1000000,Free,0,Others,"March 2, 2018",1.4.1,2.3,Education
Cardio Journal — Blood Pressure Log,Medical,4.5,3320,8.3,100000,Free,0,Others,"February 12, 2018",3.1.1,4.1,Medical
EO Global,Business,2.6,13,8.9,1000,Free,0,Others,"October 20, 2016",3.2,4.1,Business
DS Tower Defence,Game,3.2,768,1.4,100000,Free,0,Others,"June 5, 2013",1,1.5,Arcade
"The Championships, Wimbledon 2018",Sports,4.3,24082,95,1000000,Free,0,Others,"July 4, 2018",6.5,4.4,Sports
Pro 2018 - Series A and B,Sports,4.6,101455,6.2,5000000,Free,0,Others,"August 3, 2018",2.24.2.0,4.0.3,Sports
Business Calendar 2,Productivity,4.6,102594,15,5000000,Free,0,Others,"July 23, 2018",2.30.1,4.1,Productivity
Glow Hockey,Game,4.1,1703479,1,100000000,Free,0,Others,"July 22, 2018",1.3.8,4.1,Arcade
Clock L,Personalization,3.9,2852,5.4,100000,Free,0,Others,"September 7, 2015",1.3,4,Personalization
BH Cosmetics,Beauty,4,2,3.6,1000,Free,0,Others,"May 29, 2018",1,4,Beauty
Knightfall™ AR,Family,4.2,254,25,10000,Free,0,Teen,"March 17, 2018",1,7,Strategy
"Emoji keyboard - Cute Emoticons, GIF, Stickers",Tools,4.4,1107320,25,50000000,Free,0,Others,"August 7, 2018",3.4.500,4.1,Tools
Soccer Clubs Logo Quiz,Game,4.2,21661,16,1000000,Free,0,Others,"May 24, 2018",1.3.81,4,Trivia
Live DV,Photography,2,16,17,1000,Free,0,Others,"May 9, 2018",1.0.6,4.4,Photography
Arabic Alphabet Alif Ba Ta Wooden Blocks,Family,4.6,66,17,10000,Free,0,Others,"February 25, 2018",1.0.0,2.3,Educational
DQT GPS,Business,4,3,6.3,500,Free,0,Others,"October 5, 2015",1.2,4.2,Business
Zalo – Video Call,Communication,4.2,1042170,1,50000000,Free,0,Others,"July 27, 2018",Varies with device,-1,Communication
"GO Weather - Widget, Theme, Wallpaper, Efficient",Weather,4.5,1422858,1,50000000,Free,0,Others,"August 3, 2018",Varies with device,-1,Weather
DC Comics,Comics,4.2,25671,1,1000000,Free,0,Teen,"June 5, 2018",Varies with device,-1,Comics
Kidjo TV Kids Have Fun & Learn,Entertainment,4.6,732,1,100000,Free,0,Others,"August 1, 2018",Varies with device,-1,Entertainment
Navi Radiography Pro,Medical,4.7,11,100,500,Paid,15.99,Others,"January 14, 2018",1.2.0,4.0.3,Medical
"Free Messages, Video, Chat,Text for Messenger Plus",Social,4.3,6086,3.1,1000000,Free,0,Teen,"June 14, 2018",1.0.9,4.3,Social
Gun Club Armory,Game,4.2,55014,28,1000000,Free,0,Teen,"December 4, 2017",1.2.6,4.1,Action
Bubble Witch 2 Saga,Family,4.3,2838064,1,100000000,Free,0,Others,"August 6, 2018",Varies with device,-1,Casual
The CJ Rubric,Health And Fitness,5,5,43,100,Free,0,Others,"December 5, 2017",The CJ Rubric 7.12.0,4.1,Health & Fitness
NHL,Sports,4,68935,48,5000000,Free,0,Others,"June 27, 2018",9.4.0,4.2,Sports
CX-10DS,Family,3.4,12,11,1000,Free,0,Others,"September 15, 2017",1.5_6,4,Casual
Korean English Translator,Family,4.4,634,1.8,100000,Free,0,Others,"September 5, 2017",1.6,2.3,Education
PagesJaunes - local search,Travel And Local,3.8,43935,1,10000000,Free,0,Others,"August 1, 2018",8.13.3,5,Travel & Local
CT-ART 4.0 (Chess Tactics 1200-2400 ELO),Game,4.8,8191,1,100000,Free,0,Others,"May 22, 2018",1.1.0,4.1,Board
V380s,Libraries And Demo,3.2,1919,8.1,500000,Free,0,Others,"July 11, 2018",5.9.1,4.1,Libraries & Demo
Canvas FL,Family,4.9,36,9.4,1000,Free,0,Teen,"June 25, 2018",3.8.0,4.1,Education
Masha and the Bear. Educational Games,Family,4.5,46369,33,10000000,Free,0,Others,"July 13, 2018",2.3,4.0.3,Educational
Amazon for Tablets,Shopping,4,141613,22,10000000,Free,0,Teen,"July 31, 2018",16.14.0.850,4.4,Shopping
Ulysse Speedometer,Auto And Vehicles,4.3,40211,1,5000000,Free,0,Others,"July 30, 2018",Varies with device,-1,Auto & Vehicles
Montessori Preschool,Family,3.9,237,26,100000,Free,0,Others,"July 12, 2018",1.7.2,4.1,Education
Hair Salon - Fun Games,Family,3.8,484226,27,50000000,Free,0,Teen,"June 15, 2018",3.0.10,4,Casual
"Memory Helper - To do list, Notepad, Notes, Memo",Productivity,4.7,7566,4,500000,Free,0,Others,"July 21, 2018",67,4.1,Productivity
Rande.cz,Social,3.2,398,2.2,50000,Free,0,Others,"December 3, 2014",1.0.1,2.3.3,Social
The Guardian,News And Magazines,4.7,247992,22,5000000,Free,0,Teen,"July 25, 2018",6.5.1725,4.1,News & Magazines
The Weather Channel: Rain Forecast & Storm Alerts,Weather,4.4,1558437,1,50000000,Free,0,Others,"August 1, 2018",Varies with device,-1,Weather
FP BW LCD View,Family,3.4,16,1.2,500,Free,0,Others,"March 31, 2016",1,4.0.3,Entertainment
Runtastic Sleep Better: Sleep Cycle & Smart Alarm,Health And Fitness,4.1,111462,1,5000000,Free,0,Others,"July 25, 2018",Varies with device,-1,Health & Fitness
A/C Air Conditioner Remote,Tools,3.4,7816,5.1,1000000,Free,0,Others,"July 30, 2016",1.1.1,3,Tools
BC Navigator,Family,4.4,21,32,1000,Free,0,Others,"May 10, 2018",3.2,4.0.3,Education
Evie Launcher,Personalization,4.7,139258,1,5000000,Free,0,Others,"August 3, 2018",Varies with device,4.4,Personalization
Aegis BT,Business,4.8,16,4.5,500,Free,0,Others,"September 6, 2017",1.0.10,4.1,Business
Dr. D. Y. Patil Vidyapeeth GBS,Family,4,3,5.3,100,Free,0,Others,"February 14, 2017",1.0.1702140017,4.1,Education
EasyNote Notepad | To Do List,Tools,4.3,15618,2.4,1000000,Free,0,Others,"November 27, 2017",1.5.2,2.3,Tools
New YAHTZEE® With Buddies Dice Game,Game,4.1,42079,93,5000000,Free,0,Others,"July 5, 2018",5.6.5,4.1,Board
Rope'n'Fly 3 - Dusk Till Dawn,Game,4,166033,23,10000000,Free,0,Others,"January 31, 2018",3.6,2.3,Arcade
Motocross Beach Jumping 3D,Family,4,105954,43,10000000,Free,0,Teen,"June 5, 2018",1.7.3,4.1,Simulation
Guns of Glory,Game,4,120592,77,10000000,Free,0,Others,"July 31, 2018",2.0.2,4.0.3,Strategy
AP English Language: Practice Tests and Flashcards,Family,4.5,19,5.4,5000,Free,0,Others,"July 3, 2018",1.6.7.1,4.1,Education
ETERNITY WARRIORS 2,Game,4.6,568391,5.2,5000000,Free,0,Teen,"July 1, 2014",4.3.1,2.1,Action
BombSquad Remote,Game,4.1,13304,1.3,1000000,Free,0,Others,"November 30, 2016",1.2.21,4,Arcade
Z Champions,Game,4.7,96028,59,1000000,Free,0,Teen,"May 28, 2018",Varies with device,4,Arcade
DS Flashlight,Tools,4,127,5.8,10000,Free,0,Others,"May 30, 2015",1.31,2.2,Tools
TRANSFORMERS: Earth Wars,Family,4.5,256219,95,10000000,Free,0,Others,"July 31, 2018",1.64.0.21247,4.2,Strategy
Asteroids 3D live wallpaper,Personalization,4.1,157495,6.4,10000000,Free,0,Others,"July 24, 2018",4.0.0.7,4.4,Personalization
Harley Quinn wallpapers HD,Art And Design,4.8,192,6,10000,Free,0,Others,"April 25, 2018",1.5,3,Art & Design
Pinkalicious Party,Family,3,2,82,500,Paid,2.99,Others,"June 25, 2018",1.5.0,4.1,Educational
Wifi Inspector,Tools,4.3,63712,1,5000000,Free,0,Others,"May 12, 2016",Varies with device,2.3,Tools
Hadith du jour,Family,4.4,276,1,50000,Free,0,Others,"March 22, 2016",Varies with device,-1,Education
Ek Onkar,Family,4.9,107,18,10000,Free,0,Others,"April 3, 2016",1.3,4,Entertainment
MiniMovie - Free Video and Slideshow Editor,Video Players,4.5,504823,1,50000000,Free,0,Others,"December 13, 2017",Varies with device,-1,Video Players & Editors
Paris ci la Sortie du Métro,Maps And Navigation,4.2,453,36,10000,Paid,2.99,Others,"April 2, 2018",4.3,4.1,Maps & Navigation
Fast Secure VPN,Tools,4.3,56848,9.6,1000000,Free,0,Others,"May 18, 2018",1.6.11,4.1,Tools
Little Magnet BT Pro,Tools,4.6,251,3.8,1000,Paid,0.99,Others,"August 5, 2018",4.1.4,4.2,Tools
Star Chart,Family,4.3,128808,1,10000000,Free,0,Others,"August 2, 2018",Varies with device,-1,Education
Love Images,Social,4.3,16404,2.3,1000000,Free,0,Others,"June 24, 2018",1.6,2.3,Social
EZ TAG Express,Travel And Local,3.2,86,39,10000,Free,0,Others,"May 17, 2018",2.5.186032,4.4,Travel & Local
Launcher Oreo 8.1,Personalization,4.5,13466,3.4,500000,Free,0,Others,"June 19, 2018",1.9,5,Personalization
Trello,Productivity,4.5,72513,12,5000000,Free,0,Others,"July 18, 2018",5.0.1.11068-production,5,Productivity
OptumRx,Medical,3.4,1838,21,100000,Free,0,Others,"July 2, 2018",2.11.0,4.0.3,Medical
Adguard Content Blocker,Tools,4.1,14491,4.3,1000000,Free,0,Others,"February 26, 2018",2.1.2,-1,Tools
ESS Mobile for AE,Productivity,1.9,63,1.8,5000,Free,0,Others,"September 27, 2016",2.0.1027,3,Productivity
SAMURAI vs ZOMBIES DEFENSE,Game,4.5,407788,19,5000000,Free,0,Others,"July 18, 2013",3.4.0,2.1,Action
Calorie Counter - MyFitnessPal,Health And Fitness,4.6,1873516,1,50000000,Free,0,Others,"July 31, 2018",Varies with device,-1,Health & Fitness
Easy Voice Recorder,Productivity,4.4,205191,7.1,10000000,Free,0,Others,"June 20, 2018",2.4.5,4.1,Productivity
Portal AR - Step Into Scotland,Travel And Local,3.7,25,43,5000,Free,0,Teen,"June 4, 2018",1.4,7,Travel & Local
Golfshot: Golf GPS + Tee Times,Sports,4.3,7543,25,500000,Free,0,Others,"July 11, 2018",1.31.0,4.1,Sports
BF Browser by Betfilter - Stop Gambling Today!,Communication,3,39,4.6,10000,Free,0,Others,"September 4, 2017",1.4,4.0.3,Communication
AY Sing,Books And Reference,4.8,111,10,5000,Free,0,Others,"May 21, 2018",1.6.2,4.1,Books & Reference
Monefy - Money Manager,Finance,4.6,111254,7.4,1000000,Free,0,Others,"July 3, 2018",1.8.9,4,Finance
ODTMobile,Business,3.4,15,2.7,10000,Free,0,Others,"March 10, 2016",3.2,2.2,Business
e-Anatomy,Medical,4,1545,74,100000,Free,0,Others,"July 30, 2018",4.8.2,4.0.3,Medical
MomentCam Cartoons & Stickers,Photography,4.2,1260143,1,50000000,Free,0,Others,"July 12, 2018",Varies with device,-1,Photography
Summoners War,Game,4.3,2045554,28,50000000,Free,0,Teen,"July 30, 2018",4.0.1,4.0.3,Role Playing
Nigeria News NAIJ.com,News And Magazines,4.3,37882,9.1,1000000,Free,0,Teen,"June 1, 2018",8.2.9,4.0.3,News & Magazines
TAMAGO Monsters Returns,Game,4.1,104583,37,1000000,Free,0,Others,"August 18, 2016",3.45,2.3,Arcade
C W Browser,Communication,4.4,14,17,100,Free,0,Others,"October 28, 2017",1,4,Communication
Terminal Emulator for Android,Tools,4.4,113951,0.53809,10000000,Free,0,Others,"April 15, 2015",1.0.70,1.6,Tools
Flow Free,Game,4.3,1295557,11,100000000,Free,0,Others,"April 11, 2018",4,4.1,Puzzle
Top Popular Ringtones 2018 Free 🔥,Libraries And Demo,4.4,7396,22,500000,Free,0,Others,"July 6, 2018",5.28,4.0.3,Libraries & Demo
Heroes of Dragon Age,Game,4.2,70389,28,1000000,Free,0,Teen,"May 9, 2018",5.3.1,2.3.3,Action
My Tamagotchi Forever,Family,4.3,28735,91,1000000,Free,0,Others,"August 1, 2018",1.12.0.1654,4.2,Casual
FJ Drive: Mercedes-Benz Lease,Auto And Vehicles,4.6,107,27,10000,Free,0,Others,"November 6, 2017",2.0.0,4.1,Auto & Vehicles
UM BP Track,Medical,2,1,29,50,Free,0,Others,"June 27, 2017",7.9.0 (5192),5,Medical
Offline Maps & Navigation,Travel And Local,4.7,192641,33,5000000,Free,0,Others,"June 7, 2018",17.4.1,4.0.3,Travel & Local
eHub,Business,4.2,6969,4.8,100000,Free,0,Others,"June 29, 2018",3.9.11,4.4,Business
Results for DC Lottery,Family,4.4,160,8.5,5000,Free,0,Others,"March 11, 2017",5.1,4.1,Entertainment
FML F*ck my life + widget,Family,4.2,1415,0.2041,100000,Free,0,Others,"May 21, 2010",3.1,1.5,Entertainment
Toy Truck Rally 3D,Game,4,301895,25,50000000,Free,0,Others,"May 23, 2018",1.4.4,4.1,Racing
tökr,Medical,4.6,17,14,1000,Free,0,Others,"July 11, 2018",1.9.0.0,4.1,Medical
Dollhouse Decorating Games,Lifestyle,4.1,18968,32,5000000,Free,0,Teen,"April 26, 2018",5.1,4.1,Lifestyle
Titanic App - Feminist Dating Application,Dating,4.5,120,10,500,Free,0,Teen,"August 4, 2018",1.5-beta,5,Dating
Plants vs. Zombies FREE,Game,4.4,4066989,69,100000000,Free,0,Others,"July 6, 2018",2.2.00,4.1,Strategy
ai.type keyboard Plus + Emoji,Tools,4.5,57076,35,100000,Paid,4.49,Others,"July 24, 2018",Paid-9.4.1.3,4.1,Tools
Chakra Cleansing,Libraries And Demo,4.6,539,99,50000,Free,0,Others,"August 2, 2018",7,4.0.3,Libraries & Demo
The Secret Daily Teachings,Lifestyle,4.3,206,32,1000,Paid,4.99,Others,"February 11, 2018",14,4.0.3,Lifestyle
AZ Mobile Gizmo,Business,4.4,16,3.7,1000,Free,0,Others,"April 2, 2018",3.4.4,4.2,Business
BC MVA Fines,Books And Reference,5,5,7.2,50,Paid,1.75,Others,"October 8, 2015",1,4.1,Books & Reference
Endomondo - Running & Walking,Health And Fitness,4.5,559186,1,10000000,Free,0,Others,"July 11, 2018",Varies with device,-1,Health & Fitness
JH Blood Pressure Monitor,Medical,3.7,9,2.9,500,Free,0,Others,"July 21, 2018",1.1,4.0.3,Medical
Geometry Dash Meltdown,Game,4.6,1591129,48,50000000,Free,0,Others,"December 22, 2017",1.01,4,Arcade
Scanner Radio - Fire and Police Scanner,Family,4.4,175509,1,10000000,Free,0,Others,"August 7, 2018",Varies with device,-1,Entertainment
Service CU Mobile Banking,Finance,4.7,6208,14,100000,Free,0,Others,"June 12, 2018",5.9.1.0,5,Finance
E-Book Read - Read Book for free,Books And Reference,4.5,1857,4.9,50000,Free,0,Others,"August 3, 2018",1.3.2,4.4,Books & Reference
BAC DZ Questionnaire,Family,4,38,1,5000,Free,0,Others,"May 25, 2018",Varies with device,-1,Education
kicker football news,Sports,4.3,56270,15,5000000,Free,0,Others,"August 3, 2018",5.4.2,5,Sports
Mobile Strike,Family,3.9,903392,1,50000000,Free,0,Others,"June 14, 2018",3.30.4.207,4.1,Strategy
School of Dragons,Family,4.1,530792,1,10000000,Free,0,Others,"May 30, 2018",Varies with device,-1,Role Playing
Super Hearing Secret Voices Recorder PRO,Medical,5,3,23,100,Paid,2.99,Others,"April 20, 2018",1,4.1,Medical
Galaxy Defense,Family,4.1,78142,17,5000000,Free,0,Others,"August 22, 2015",1.2.3,3,Strategy
Drawing for Kids Learning Games for Toddlers age 3,Family,4.6,29436,43,1000000,Free,0,Others,"March 21, 2018",2.0.5.0,4.1,Educational
Mobile CS,Business,4,13,5.7,1000,Free,0,Others,"October 6, 2017",1.2.0,4.4,Business
Burnley FC,Sports,4.9,195,29,5000,Free,0,Others,"August 1, 2018",2018.8.1,4.4,Sports
Snapfish,Photography,4.1,32398,28,1000000,Free,0,Others,"August 1, 2018",9.6.4,4.4,Photography
3DAnimeGirl DX DreamPortrait KAWAII Girl DressUp,Family,4.2,449,56,10000,Free,0,Teen,"February 16, 2018",1.5,4,Casual
Dungeons and Dragons DM Tools,Books And Reference,3.1,50,4.9,1000,Paid,1.99,Others,"February 22, 2017",2,2.3,Books & Reference
Helper for CS:GO,Tools,4.4,208,6,10000,Free,0,Others,"June 16, 2016",1.2.1,4.1,Tools
Fertility Friend Ovulation App,Health And Fitness,4.5,12955,7.2,1000000,Free,0,Teen,"June 27, 2018",10.24,4.4,Health & Fitness
PhotoScan by Google Photos,Photography,4.3,61990,1,10000000,Free,0,Others,"February 9, 2018",1.5.1.182070924,5,Photography
AP Psychology Prep: Practice Tests and Flashcards,Family,4.5,242,5.4,50000,Free,0,Others,"July 3, 2018",1.6.7.1,4.1,Education
European Solidarity Corps,Social,3.6,9,21,1000,Free,0,Teen,"July 5, 2018",1.2.0,4.4,Social
theScore esports,Sports,4.5,16257,14,500000,Free,0,Others,"February 3, 2017",2.8,4.1,Sports
Basket Manager 2016 Free,Sports,4.3,1879,4.4,100000,Free,0,Others,"February 9, 2017",2.9,4.1,Sports
DH Pineapple Poker OFC,Game,4.2,1878,20,100000,Free,0,Teen,"November 9, 2017",1.0.13,3,Casino
BN Pro LcdD Legacy Text,Libraries And Demo,3.9,71,0.40234,10000,Free,0,Others,"February 5, 2017",2.3.2,1.6,Libraries & Demo
Jungle Marble Blast,Game,4.3,18985,23,5000000,Free,0,Others,"July 23, 2018",1.5.4,4.0.3,Casual
Fish|Hunt FL,Lifestyle,3.6,853,34,100000,Free,0,Others,"March 22, 2018",3.2.0,4.1,Lifestyle
Familial Hypercholesterolaemia Handbook,Medical,1,2,33,100,Free,0,Others,"July 2, 2018",2.0.1,4.1,Medical
Lifetime - Watch Full Episodes & Original Movies,Entertainment,4,35928,19,1000000,Free,0,Teen,"July 16, 2018",3.1.4,4.4,Entertainment
Read books online,Books And Reference,4.1,91615,23,5000000,Free,0,Teen,"June 29, 2018",3.12,4.1,Books & Reference
Papyrus Ex,Tools,4.6,1092,0.18555,100000,Free,0,Others,"June 27, 2012",2.3.3,2.1,Tools
MegaNDS (NDS Emulator),Game,3.4,2218,11,500000,Free,0,Others,"October 18, 2017",2,4,Arcade
EK Platinum,Lifestyle,3.8,52,10,10000,Free,0,Others,"December 26, 2017",1.0.6®,4,Lifestyle
Shadow Fight 2 Special Edition,Game,4.5,10440,86,50000,Paid,4.99,Teen,"May 30, 2018",1.0.3,4.1,Action
Dr. McDougall Mobile Cookbook,Health And Fitness,3.8,76,1.2,1000,Paid,4.99,Others,"January 26, 2015",1.1,2.2,Health & Fitness
KFC CZ,Lifestyle,2.8,1189,18,100000,Free,0,Others,"June 27, 2018",5.1.0,4.0.3,Lifestyle
